ltable_id,rtable_id,label,cluster_id_left,cluster_id_right,pair_id
0,0,1,0,0,25866919#17517797
2,2,1,2,2,20467137#40658212
3,3,1,3,3,22992322#25011125
4,4,1,4,4,37287476#36900730
6,6,1,6,6,36288245#89959697
7,7,1,7,7,44852039#71147841
8,8,1,8,8,40160836#39250533
9,9,1,9,9,51984550#57937744
12,12,1,12,12,97711225#74702654
13,13,1,13,13,35431801#45291729
15,15,1,15,15,80250895#25446597
16,16,1,16,16,62911#42404872
18,18,1,18,18,370268#7250514
19,19,1,19,19,78989521#66051813
20,20,1,20,20,85241565#86917365
21,21,1,21,21,56234120#96716900
24,24,1,24,24,65931181#72667296
25,25,1,25,25,85542042#59075657
26,26,1,26,26,49443301#69611430
27,27,1,27,27,94368030#51543842
28,28,1,28,28,4254500#52019173
29,29,1,29,29,93532842#77308213
30,30,1,30,30,26871941#4653122
32,32,1,32,32,58640870#68725256
34,34,1,34,34,97937089#88874092
36,36,1,36,36,32188644#94511792
37,37,1,37,37,32682669#23084884
43,43,1,43,43,40978236#39172032
44,44,1,44,44,26466300#30869320
45,45,1,45,45,20596445#9390933
47,47,1,47,47,36439966#77008042
50,50,1,50,50,2798076#89973207
51,51,1,51,51,91650188#64323838
52,52,1,52,52,14120468#51672417
53,53,1,53,53,75383195#52438492
54,54,1,54,54,70197976#25282467
55,55,1,55,55,27426123#66814149
57,57,1,57,57,28608094#35165067
58,58,1,58,58,15223473#73823909
59,59,1,59,59,50183657#50657212
61,61,1,61,61,26095201#69912633
62,62,1,62,62,72004049#66718913
63,63,1,63,63,12407223#66760494
64,64,1,64,64,53833203#62662513
65,65,1,65,65,98056386#64714684
66,66,1,66,66,29434895#55853667
67,67,1,67,67,41462410#70894718
68,68,1,68,68,49652516#61115102
70,70,1,70,70,9564204#35547549
71,71,1,71,71,54922099#83027890
72,73,1,72,72,90821646#46652889
73,74,1,73,73,45727120#95745817
74,75,1,74,74,54689761#75128379
76,77,1,76,76,12706433#37007640
77,78,1,77,77,80768725#51823526
79,80,1,79,79,85042149#48049039
80,44,1,44,44,25266215#30869320
81,81,1,80,80,96374921#73810179
82,82,1,81,81,3103984#95960852
85,85,1,84,84,25349351#55665914
86,86,1,85,85,56278238#55675271
87,87,1,86,86,45993118#60305865
88,88,1,87,87,45511817#92299108
89,89,1,88,88,48678537#7083119
91,91,1,90,90,4991565#58326251
93,93,1,92,92,45831360#79613309
95,95,1,94,94,42506221#59928566
96,96,1,95,95,55307387#88549840
97,97,1,96,96,75318821#55982328
98,98,1,97,97,61959536#92647013
99,99,1,98,98,38674629#75223780
101,101,1,100,100,68696736#28927993
102,102,1,101,101,85304830#18854966
104,104,1,103,103,64603834#95041002
70,106,1,70,70,9564204#19082435
106,108,1,105,105,52851091#62422382
109,111,1,108,108,24693281#30429353
110,112,1,109,109,10524933#47444077
111,113,1,110,110,61649172#43851871
113,115,1,112,112,57023339#96999491
114,116,1,113,113,2101868#70863968
115,117,1,114,114,77470441#45965279
116,118,1,115,115,66083674#84071723
117,119,1,116,116,17557758#23373474
38,120,1,38,38,7250514#18755950
118,121,1,117,117,71406090#77398411
119,122,1,118,118,35884378#52672692
120,123,1,119,119,83579294#41132356
121,124,1,120,120,52012211#70981106
122,125,1,121,121,1613425#82447200
123,126,1,122,122,91573353#40610417
124,127,1,123,123,42128318#60447783
125,128,1,124,124,19499488#77595897
127,130,1,126,126,53570958#45001854
130,133,1,129,129,38413725#90718213
131,134,1,130,130,88065997#65533380
132,135,1,131,131,73823909#24268406
133,136,1,132,132,35151415#34887025
135,138,1,134,134,29412990#6798938
136,139,1,135,135,52200023#64383564
137,140,1,136,136,69838310#73092958
138,141,1,137,137,45049276#69711479
139,142,1,138,138,33970939#50944416
140,143,1,139,139,74514500#18246146
142,145,1,141,141,40059942#77743117
143,146,1,142,142,17955435#40988189
145,148,1,144,144,98808067#34081588
147,151,1,146,146,41704902#17553753
149,153,1,148,148,39003028#76169214
133,156,1,132,132,35151415#93532842
152,157,1,151,151,48190320#75447718
153,158,1,152,152,28948362#75133459
155,160,1,154,154,22926196#48818759
135,164,1,134,134,29412990#48440405
159,165,1,158,158,32397021#34996246
160,166,1,159,159,52031548#98547332
161,167,1,160,160,11098395#44870108
162,168,1,161,161,51092806#52440335
163,169,1,162,162,66053411#97873950
165,171,1,164,164,50129119#38674629
166,172,1,165,165,69821747#93246129
167,173,1,166,166,93648382#69120468
168,174,1,167,167,51670299#77427895
169,175,1,168,168,37801039#38083813
170,176,1,169,169,45256979#9937440
172,178,1,171,171,22034280#57189752
173,179,1,172,172,27286069#48541191
109,180,1,108,108,24693281#59100632
174,181,1,173,173,42424469#4991565
175,182,1,174,174,84981584#57971400
177,184,1,176,176,663005#56275224
179,186,1,178,178,52590809#69927371
180,187,1,179,179,66123367#31585097
181,188,1,180,180,40774974#64159490
182,189,1,181,181,66564908#84977888
183,185,1,177,177,52425202#56379271
184,190,1,182,182,32343306#66752971
186,193,1,184,184,61258448#29228441
188,163,1,157,157,89896876#64773733
189,195,1,186,186,38404089#71389798
