ltable_id,rtable_id,label,cluster_id_left,cluster_id_right,pair_id
1745,317,0,245,299,50691452#49832619
345,1857,0,331,1010,51570027#53073800
2188,1714,0,1460,1224,74329118#35950727
1486,1776,0,102,454,67374175#13939571
295,2733,0,283,504,68935383#82372668
155,213,0,154,203,22926196#82270293
1841,2715,0,484,92,45853159#45040539
601,970,0,551,826,42055621#35731483
962,879,0,481,770,64136504#72117430
710,2680,0,638,1024,46980585#32204159
1900,1722,0,433,496,65529136#90809669
43,326,0,43,308,40978236#55343673
1050,1935,0,874,1330,11655051#78600248
2386,1978,0,888,1351,50509455#21856623
775,1803,0,594,1268,54685720#52385985
1989,1691,0,75,131,88857237#98849797
2756,1319,0,821,1017,26298809#69401250
1124,545,0,918,501,5355657#45550541
97,759,0,96,679,75318821#72164444
1586,1935,0,1171,1330,43780660#78600248
57,2311,0,57,135,28608094#52200023
267,815,0,257,724,79069245#86146945
710,2225,0,638,1456,46980585#48448790
2697,2164,0,833,1428,51599647#60181035
2462,1795,0,1175,469,60558385#81351830
198,1792,0,33,23,55982328#35122049
2539,910,0,83,692,97563189#71562627
587,2146,0,337,1416,88849665#89493786
884,2034,0,578,1370,69783068#25356853
1620,1626,0,1186,1177,64433709#63899223
113,6,0,112,6,57023339#89959697
2207,2557,0,1023,217,45328663#91761393
326,2715,0,313,92,80310375#45040539
1178,303,0,191,286,98077329#36811471
2460,2628,0,117,1352,77398411#49421369
1551,1407,0,65,290,67059288#41323253
2176,970,0,291,826,37708089#35731483
537,160,0,499,154,56768821#48818759
1016,555,0,850,509,83865712#91026985
2742,1914,0,646,725,54616332#63223933
2674,416,0,1408,389,46824556#27426123
594,812,0,546,722,50944416#83579294
2426,1920,0,215,1323,96890525#27087295
822,841,0,703,743,62090829#74399700
311,2558,0,299,1086,25239030#37634878
2811,1159,0,2359,484,64511013#62911
983,480,0,831,445,50426062#22537653
103,2019,0,102,954,17124871#67358090
1743,2402,0,800,509,71725022#24804998
545,1592,0,507,1161,37497854#63390660
1099,2128,0,901,365,70349654#1970599
2121,431,0,1426,404,44557157#78989521
226,2813,0,217,2432,66982137#11484166
468,2558,0,438,1086,62628948#37634878
1144,1464,0,399,39,89959697#88984856
1852,2237,0,1316,226,56417965#31225471
892,2219,0,772,882,70986173#80552353
1834,2570,0,117,413,68489179#52341668
1915,2132,0,124,202,59311367#4030876
1558,1405,0,615,117,24351352#38849390
1453,1292,0,1103,735,63292418#50250903
2597,2429,0,118,1536,88855243#45868388
1222,402,0,725,378,30190432#27999294
723,1935,0,647,1330,2485153#78600248
584,2045,0,538,153,62404947#16295996
2284,1057,0,1493,882,24465407#24569479
1142,2807,0,931,2432,71952052#23958745
944,1746,0,123,1022,77427895#57657334
1791,1626,0,1285,1177,17124528#63899223
1898,582,0,1335,530,55268831#98649507
1054,2808,0,877,2432,31435374#43265908
2349,1478,0,1520,1104,45145764#45282536
2646,341,0,1340,323,69346431#5628683
1968,921,0,245,798,32586695#61938708
226,2804,0,217,2432,66982137#32887006
1605,2237,0,1180,226,19934535#31225471
2094,2818,0,1412,2413,38939872#26736430
2826,1723,0,2166,221,47504703#65693495
1919,1355,0,1127,116,7344796#49420850
2685,2311,0,2,135,88727182#52200023
1734,2775,0,1255,1529,44305640#17422391
1737,755,0,1257,676,28879558#39562985
2119,1214,0,404,968,50148316#65306765
1619,339,0,694,321,61868091#47948274
1209,2325,0,973,1494,27383622#19954065
759,213,0,676,203,24139438#82270293
2649,1698,0,116,1218,34073752#21658780
1785,1057,0,1280,882,84846826#24569479
483,2129,0,451,468,67076258#35915008
669,1246,0,601,981,45840265#40356035
1601,1698,0,158,1218,75389886#21658780
2727,1516,0,609,322,57380129#74192889
