id,brand,title,description,price,cluster_id,pricecurrency,page_url
0,,Jabra Evolve 75 incl. charging stand UC Stereo,,21990,0,,
1,,Sony Noise Cancelling Over-Ear Wireless Headphones - Black | WH1000XM3B,"Lose yourself in silenceEscape the sounds of the city with industry-leading noise cancellation. The noise cancelling technology in the WH1000XM3B headphones is Sony's most advanced ever with close fitting ear pads and our HD Noise Cancelling Processor QN1.More power = even less noiseWith Sony's new HD Noise Cancelling Processor QN1, noise cancelling power is greatly enhanced. Having a dedicated NC processor also ensures the reproduction of your music is never compromised due to processor performance.Wireless freedom, Great Sound in silenceLDAC transmits approximately three times more data (at the maximum transfer rate of 990 kbps) than conventional BLUETOOTH® wireless audio, allowing you to enjoy High-Resolution Audio content in exceptional quality, as close as possible to that of a dedicated wired connection.Sound you can believe inA built-in amplifier integrated in HD Noise Cancelling Processor QN1 realises the best-in-class signal-to-noise ratio and low distortion for portable devices, and delivers exceptional sound quality. Powerful 40mm drivers, with Liquid Crystal Polymer (LCP) diaphragms, make the headphones perfect for handling heavy beats and can reproduce a full range of frequencies up to 40kHz.Talk at a touch with Quick AttentionCommunicate without taking your headphones off. Place your hand over the housing to turn the volume down for instant conversation.Virtual surround soundFeel immersed in sound wherever you are. Experience audio optimised for different listening environments including outdoor stages, clubs, halls and arenas.All day power and quick chargingWith a huge 30 hours of battery life, you’ll have enough power for even long trips away. And if you need to charge in a hurry, you can get 5 hours’ worth of charge after just 10 minutes with the optional AC adapter.",319.99,1,,
2,Corsair,Corsair Carbide SPEC-01 Tower Black,"The essential gaming PC case.Carbide Series SPEC-01 is proof that great looks, smart design, and durable construction don’t need to be pricy, and that basic doesn’t need to be boring. You get aggressive styling, a huge side panel window for admiring your components, and an LED-lit front intake fan that draws cool air directly to your graphics cards.Inside, there’s room for up to five fans, and the four combination hard drive / SSD trays make storage installation and upgrades quick and easy. Cable routing cutouts help you reduce clutter, and the built-in dust filters help protect your components. Up front, the USB 3.0 connector gets you up to speed with the latest high-performance storage devices.Huge side panel windowThe aggressive look of the SPEC-01 makes it look great on the outside, but there’s beauty on the inside of a well-built system, too. The large side panel window lets you show it off.LED front intake fan, with room for moreThe 120mm front intake fan is bathed in soft LED lighting, and it’s oriented to draw cool air directly across your graphics cards. And if you want even more ventilation, you can add a second 120mm fan or even dual 140mm fans.Flexible cooling potentialLike all Corsair cases, the SPEC-01 is designed for cooling, so you’re covered if you’re overclocking, running multiple GPUs, or if you just want more airflow. There are mounting points for up to five fans, including dual front 140mm or 120mm fans, dual 120mm fans on top, and a rear 120mm fan.Multiple drive baysYou might not build a system with four hard drives or SSDs, but with SPEC-01, you can if you want. In addition to the two standard 5.25” optical drive bays, there are four built-in 3.5” / 2.5” combo drive bays for mechanical hard drives or solid-state drives.Easy system builds, maintenance and upgradesBuilds should be easy, no matter what your budget. 3.5” drive installation is tool-free, and you get cable routing holes for neater-looking builds and better airflow. And, there’s a CPU cutout to allow for cooling upgrades without removing the motherboard. The front intake fan filters help keep dust out of the interior, and the front panel has a USB 3.0 port for fast performance from USB flash drives and portable hard drives.Contents and SpecificationsPackage contentsCarbide Series SPEC-01 Mid-Tower Gaming CaseAccessories box with screws, zip ties, and other mounting hardwareWarranty and Support InformationCompatibilityMini ITX, Micro ATX, ATX motherboardsTechnical specificationsTons of fan mounts:Front – 2 x 140/120mm (1 x 120mm LED included)Top – 2 x 120mmRear – 120mmUSB 3.0 front port with internal connectorLarge side panel windowWarrantyTwo yearsWeight4.8kgColorBlackCase Form FactorMid-towerDimensions479mm x 200mm x 430mmCase Motherboard SupportMini ITX, Micro ATX, ATXMaximum GPU Length414mmMaximum CPU Cooler Height150mmMaximum PSU Length230mmCase Expansion Slots7Case Drive Bays(x2) 5.25in(x4) Combo 3.5in/ 2.5inCase MaterialSteelCase Power SupplyATX (not included)External Connections(x1) USB 2.0 (x1) USB 3.0 (x1) Headphone Port (x1) Microphone PortFan Mount LocationsFront: (x2) 120/140mm Top: (x2) 120mmRear: (x1) 120mmFans IncludedFront: (x1) 120mmRadiator Mount LocationsRear: 120mmCompatible Corsair Liquid CoolersH55, H60, H75, H80 Cable routing and CPU cooler backplate motherboard cutoutsSeven PCIe slots with room for long graphics cards up to 420mm longInstall up to four storage drives, your choice of 3.5” or 2.5”, each tray fits bothDust filters for front and PSU intake",79,2,,
3,Hikvision,Hikvision DS-7216HUHI-K2 Turbo 1080p HD 16CH DVR - HD-TVI AHD IPC - HDMI COAX,,395.00,3,,
4,,D'Addario NYXL Super Light .009-.042 Nickel WoundElectric Guitar Strings,"NYXL0942 sets are designed with super light gauges for maximum flexibilityD’Addario NYXL guitar strings will bend farther, sing louder, and stay in tune better than any string you’ve played before. Envisioned, perfected, and manufactured by D’Addario in New York, this newly engineered, break-resistant, high-carbon steel core and plain steel alloy delivers a whole new level of freedom, confidence, and power. NYXL’s provide more strength and up to 131% greater tuning stability by utilizing a completely reinvented wire drawing process coupled with a revolutionary “fusion twist” process for the plain steels. The reformulated nickel plated string windings have greater magnetic properties resulting in higher output and enhanced mid-range frequency response for more presence and crunch.FeaturesNYXL's feature D’Addario’s exclusive New York manufactured, high carbon steel alloy for unprecedented strength – play fearlesslyImproved tuning stability compared to traditional nickel wound strings - get in tune faster, stay in tune betterWound strings with enhanced mid-range frequency response in the 1 - 3.5 kHz range – more presence and crunch to cut through the mixNYXL0942 are designed with super light gauges for maximum flexibility: Plain Steel .009, .011, .016, Nickel Wound .024, .032, .042Environmentally friendly, corrosion resistant packaging for strings that are always fresh",12.00,4,,
5,,"Ubiquiti UniFi AP, AC, In Wall, 5-Pack","UAP-AC-IW - 5 Pack, Indoor, 802.11ac, 5GHz MIMO 2x2, 867Mbps, PoE, 3x 10/100/1000",3768,5,,
6,,RAP-B-400U Anclaje regulable barra 16-38 mm,UPC: 793442943539,39.10,6,,
7,,Cartouche Toner Laser type Epson C13S051160 environ 6000 pages,Cartouche Toner Laser type Epson C13S051160 environ 6000 pages compatible Epson AcuLaser C2800/C2800N/C2800DN/C2800DTN,86.1,7,,
8,GoPro,GoPro Max Dual Battery Charger + Battery,,599,8,,
9,Fujifilm,Fujifilm Instax Mini Monochrome Film (10 Pack),This Fuji Instax Mini Monochrome Film (10 Pack) allows you to be more creative with your Fujifilm Instax Instant Camera and explore life in black and white.,175.00,9,,
