ltable_id,rtable_id,label,cluster_id_left,cluster_id_right,pair_id
1124,545,0,918,501,5355657#45550541
2424,643,0,569,580,60508722#37530368
1178,303,0,191,286,98077329#36811471
2200,414,0,1466,387,46246978#29319775
214,186,0,209,178,69863476#69927371
1478,1643,0,1116,969,90477916#80714779
642,627,0,580,569,68731378#47688199
723,1935,0,647,1330,2485153#78600248
2341,1893,0,1516,1019,53010211#68752289
13,2374,0,13,1515,35431801#38461619
2702,2388,0,1554,1523,46556537#63687251
492,541,0,457,498,58763783#48046242
1126,474,0,919,420,66901817#64260575
1404,2668,0,1076,209,65445054#98293160
616,2733,0,563,504,84888111#82372668
148,1029,0,147,864,10484796#54181907
483,2079,0,451,1386,67076258#76539632
950,627,0,812,569,67358090#47688199
61,437,0,61,410,26095201#84031127
638,1351,0,238,1034,4342807#62307014
1564,2766,0,253,178,94617051#37471512
1549,759,0,859,679,53084442#72164444
297,836,0,285,739,88590575#32295090
1055,1482,0,647,451,25695404#33722688
1825,898,0,451,360,13585097#77748256
6,833,0,6,476,36288245#478870
2445,2834,0,1554,2432,42516046#40200365
194,2002,0,191,1005,8281130#1613425
1673,545,0,1218,501,15219566#45550541
297,2340,0,285,1499,88590575#51382920
2424,1643,0,569,969,60508722#80714779
1037,1926,0,865,1326,45376232#13198918
1682,545,0,116,501,7179251#45550541
1471,1030,0,1112,865,71563970#31313438
455,473,0,425,440,76169214#48625658
237,831,0,228,424,86917365#35610900
2133,2843,0,447,2432,48734603#46283455
2597,778,0,118,696,88855243#26055338
1030,1315,0,859,251,77260330#38705578
2581,2496,0,153,209,76447164#87035902
2343,1287,0,1517,865,60679295#45376232
2126,1748,0,1429,175,13490638#22216118
1036,1229,0,864,221,5185359#43763158
238,2750,0,229,569,66649332#47138182
237,2587,0,228,715,86917365#35626804
2126,1152,0,1429,323,13490638#50986653
340,223,0,326,213,66760494#75622670
2848,2719,0,1893,945,10042792#13490638
64,1681,0,64,1206,53833203#27369443
65,1046,0,65,875,98056386#37892018
1567,1681,0,304,1206,67086788#27369443
507,54,0,117,54,9728574#25282467
2463,1356,0,702,178,71489113#96837227
1350,2766,0,935,178,88678398#37471512
354,65,0,339,65,72470859#64714684
13,2635,0,13,135,35431801#20383993
1549,1979,0,859,1352,53084442#41901856
786,64,0,696,64,64313181#62662513
2489,1397,0,1563,1061,67986899#38118876
73,201,0,73,191,45727120#13760497
1839,49,0,1309,49,90839732#47336087
1659,1643,0,1209,969,75622670#80714779
1825,1801,0,451,938,13585097#70326774
1196,833,0,966,476,57781987#478870
1366,1112,0,285,716,38427916#44729677
2445,2388,0,1554,1523,42516046#63687251
1930,1961,0,13,1341,56230100#39883470
687,809,0,617,696,97873950#38939272
